name,sales_group,address,customer_account
A1 Bait & Tackle,SDH,"4365 State Route 13
Freeburg, IL 62243",C000079
A1 Towing,JHF,"1800 East Liberty Street
Mexico, MO 65265",C030730
A-1 Wrecker & Diesel,JHF,"1502 Thompson Avenue
West Memphis, AR 72301",C028129
AA Express Inc.,JHF,"8507 Gravois Road
St. Louis, MO 63123",C029911
AAA Auto Club,JHF,"4850 Bloomfield Street
New Orleans, LA 70121",C000080
AAA Auto Club Of Missouri,NMM,"12901 North Forty Drive 

Saint Louis, MO 63141",C000081
AAA Auto Club Of Missouri,JHF,"4782 Park 370
Hazelwood, MO 63042",C000082
AAA Auto Club Of Missouri,JHF,"9820 Alden Road
Lenexa, KS 66215",C000083
AAA Concrete Pumping,JMF,"1811 Monet Road
Nixa, MO 65714",C028160
AAA Recovery,NCB,"4732 Osage Beach Pkwy
Osage Beach, MO 65065",C000084
AAA Sprinkler,JHF,"St. Louis, MO 63136",C037435
AAA Tool And Machine,MTL,"230 Obernuefemann Road
O'Fallon, IL 62269",C000085
AAA Trailer Service,JHF,"4605 Crossroads Industrial Dr.
Bridgeton, MO 63044",C000086
AAF International,JAG,"2510 Vandiver
COLUMBIA, MO 65202",C000087
AAK Mechanical,JHF,"10962 Riddle Drive
Clinton, IL 61727",C034801
Aaron Hull,JHF,"58 Cottage Ave
Cottage Hills, IL 62018",C000088
Aaron's Automotive,MTL,"2347 Old Collinsville Rd
Belleville, IL 62221",C000089
Aaron's Septic Pumping,JHF,"4248 County Road 7480
West Plains, MO 65775",C017638
Aarrow Boring Inc.,JHF,"13617 Northwest Ind. Circle
Bridgeton, MO 63044",C000090
AB Machine,MJA,"6344 Lake Drive
Godfrey, IL 62035",C000091
AB St Louis Brewery,JHF,"3200 South 9Th Street
Saint Louis, MO 63118",C000092
ABB - Turbine Automation,AJA,"201B Ann Street
Oakmont, PA 15139",C034795
ABB Enterprise Software Inc.,JAG,"500 West Hwy 94
Jefferson City, MO 65101",C000095
ABB Enterprise Software Inc.,JHF,"P.O. Box 91177
Raleigh, NC 27675",C000096
ABB Incorporated,KMP,"4350 Semple Avenue
St. Louis, MO 63120",C000093
ABB Incorporated,JHF,"P.O. Box 90533
Raleigh, NC 27675",C000094
ABB Motors & Mechanical,DMG,"P.O. Box 2400
Fort Smith, AR 72908",C001228
ABB Motors & Mechanical,DMG,"3560 Scarlet Oak Boulevard
St. Louis, MO 63122",C001229
Abbey  Bay Llc,JHF,"1 Kylemore Close
St Charles, MO 63304",C000097
Abbey Glass Inc.,JHF,"11617 Gravois Road
St Louis, MO 63126",C000098
Abbott Ambulance,JHF,"2500 Abbott Place
St. Louis, MO 63143",C000099
Abbott Machine,RGW,"700 West Broadway
Alton, IL 62002",C000100
"Abbott Supply, L.L.C",JHF,"1017 Hampshire Street
QUINCY, IL 62301",C000101
Abbott Tool And Die,MRH,"920 Lone Star Drive
O'Fallon, MO 63366",C000102
Abc Cab,JHF,"1351 Pennsylvania Ave
St. Louis, MO 63133",C000103
Abc Labs,JHF,"7200 East Abc Lane
Columbia, MO 65202",C000104
Abc Technologies,JHF,"400 Abc Blvd 
Attn: Randy
Gallatin, TN 37066",C000105
Abc Towing & Truck Service,JHF,"20940 Staunton Rd
Staunton, IL 62088",C000106
ABCO Automation Inc.,JHF,"6202 Technology Drive
Browns Summit, NC 27214",C024257
"Abec, Inc.",JHF,"Attn: Accounts Payable 
3998 Schelden Circle
Bethlehem, PA 18017",C000107
Abencor Usa,JHF,"2929  N Central Avenue 
Suite 1000
Phoenix, AZ 85012",C000108
Abener Teyma Hugoton,JHF,"General Parnership 
14522 S. Outer Forty Road Floor 4
Chesterfield, MO 63017",C000109
Abener Teyma Hugoton,JHF,"General Partnership 
1043 Road P
Hugoton, KS 67951",C000110
Abener Teyma Mojave,JHF,"General Partnership 
16401 Swingley Ridge Road Suite 700
Chesterfield, MO 63017",C000111
"Abengoa Bio Energy Of Il, Llc",JHF,"395 Bissel Street
Madison, IL 62060",C000112
Aberdeen Dynamcis,JHF,"17717 East Admiral Place
Tulsa, OK 74158",C014216
Aberi Steel LLC,JAP,"200 Commercial Drive
Marthasville, MO 63357",C027395
Abeyatech,JMF,"2000 N. Alliance Avenue
Springfield, MO 65803",C026702
Abhe and Svoboda Inc.,JHF,"4410 Wagon Wheel Road
Roxana, IL 62087",C031462
Abitec Corporation,LAW,"1800 S Main 
P.O. Box 878
Paris, IL 61944",C000113
Able Body Corporation,DMB,"1000 Schifferdecker Avenue
Joplin, MO 64801",C000114
Able Rack Company,JHF,"6800 North Broadway
St. Louis, MO 63147",C000115
Abra Auto Body,JHF,"Eight Fullerton Road
Belleville, IL 62226",C000116
Abra Auto Body & Glass,JHF,"1274 Central Park Dr. Store#5902
O'Fallon, IL 62269",C000117
Abra Auto Body & Glass,JHF,"28 Kettle River Dr.  Store #5903
Glen Carbon, IL 62034",C000118
Abra Auto Body & Glass,JHF,"811 East Terra Lane
O'Fallon, MO 63366",C014134
Abra Auto Body & Glass,JHF,"638 Goddard Ave.
Chesterfield, MO 63005",C019396
Abra Auto Body And Glass,JHF,"8300 North Linbergh
Florissant, MO 63031",C000119
Abra Auto Body And Glass,JHF,"2280 A Chaffee
St. Louis, MO 63146",C014115
Abra Autobody And Glass,JHF,"125 Hunter Ave
Ladue, MO 63124",C000120
Abrasive Blasting,JHF,"1811 Walton Road
St. Louis, MO 63114",C000121
Abrasive Tech,JHF,"1175 Bowes Road
Elgin, IL 60123",C000122
Absolute Comfort Systems,JHF,"1084 Cool Springs Ind Dr
O'Fallon, MO 63366",C000123
Absolute Tile And Stone,NMM,"10370 Page Industrial Blvd
St. Louis, MO 63132",C000124
Absolute Usa Inc.,JHF,"15925 Morales Road 
Bldg A-200
Houston, TX 77032",C000125
Absopure Water,JHF,"P.O. Box 701248
Plymouth, MI 48170",C000126
Absopure Water Company,JHF,"1206 Jaclyn Drive 
P.O. Box 62269
O'Fallon, IL 62269",C000127
ABT Metals,JHF,"1903 Weinig Street
Statesville, NC 28677",C017330
"Accella Polyurethane Systems, LLC",JHF,"2500 Adie Road
Maryland Hts., MO 63043",C007877
Accent Bearing Inc,JHF,"367 Unit G South Rohlwing Road
Addison, IL 60101",C000128
Accent Fishing Products,JHF,"79 Hubbel Drive 
Suite 101
Dardene Prairie, MO 63368",C000129
Accent Group Solutions,JHF,"1154 Reco Avenue
Saint Louis, MO 63126",C029263
Accent Wire-Tie,DMB,"3122 Enterprise Ave
Joplin, MO 64801",C007305
Accra Pac,JHF,"15 Progress Pkwy
Union, MO 63084",C016083
Accraply Incorporated,JHF,"9350 W. Broadway Ave. Ste. 190
Minneapolis, MN 55445",C000130
Accu Glass Llc,NMM,"10765 Trenton Avenue
St. Louis, MO 63132",C000131
Accujet,JHF,"5793 Westwood Drive
Saint Charles, MO 63304",C000132
Accurate Asphalt,JHF,"4664 Pioneer Road
Hillsboro, MO 63050",C000133
Accurate Fabricators,JHF,"1603 Cleveland Blvd
Granite City, IL 62040",C000134
Accurate Fire Protection,JHF,"1428 Gravios Road
High Ridge, MO 63049",C000135
Accurate Industrial,SDH,"908 Jeffco Executive Drive
Imperial, MO 63052",C018793
Accurate Machine,JHF,"1950 Walton Road
St. Louis, MO 63114",C000136
Accurate Measurement Systems,JHF,"2360 North Lindbergh
St. Louis, MO 63114",C000137
Accurate Mechanical,JHF,"Contractors
Inc. 
5936 Garfield
St. Louis, MO 63134",C000138
Accurate Mechanical,JHF,"#7 Gunther
Saint Peters, MO 63376",C016071
Accurate Mold & Plastic,JMF,"202 Mt. Vernon 
P.O. Box 360
Nixa, MO 65714",C000139
Accurate Superior Scale,JDC,"480 Cty Road 345
Jackson, MO 63755",C000140
Accurate Superior Scale Co.,SDH,"5404 Jedmed Court
St. Louis, MO 63129",C000141
Accurate Underground,JHF,"7653 Sherry Creek Road
Worden, IL 62097",C014658
Ace Archery Tackle,JHF,"105 South Webster Street
Fairbury, IL 61739",C000142
Ace Auto Service,TNC,"6967 Stormy Ln.
Bonne Terre, MO 63628",C000143
Ace Automotive,NCB,"955 Highway 42
Osage Beach, MO 65065",C000144
Ace Building Systems,JHF,"821 West Wakefield
Sikeston, MO 63801",C000145
Ace Cab,JHF,"1779 Scherer Parkway
Saint Charles, MO 63303",C037008
Ace Electric,JHF,"1550 South Kingshighway
St. Louis, MO 63110",C000146
Ace Enterprises,NCB,"1760 State Hwy 14 E
Ozark, MO 65721",C000147
Ace Manufacturing And Parts Co,AJA,"300 Ramsey Street
Sullivan, MO 63080",C000148
Ace Metal Recycling LLC,JHF,"5990 Manchster
St. Louis, MO 63110",C032794
Ace Scrap Metal,JHF,"5900 Manchester
St. Louis, MO 63110",C000149
Ace Sign Company,MJA,"2540 South First Street
Springfield, IL 62704",C023074
Ace Wrecker,JHF,"440 State Hwy J
Hayti, MO 63851",C000150
"Acf Industries, Incorporated",LRH,"Amcar Division 
620 North Second Street
St. Charles, MO 63301",C000151
ACF Machine,JHF,"701 West Park Rd 
P.O. Box  569
Union, MO 63084",C000152
ACH Food Companies Inc.,JHF,"1201 East Morton Road
Jacksonville, IL 62650",C000153
"Ach Food Companies, Inc",JHF,"7171 Goodlett Farms Pkwy
Cordova, TN 38016",C000154
A-Cheap Tire,JHF,"1300 East Cook Street
Springfield, IL 62703",C014490
Achievements Unlimited,JHF,"9510 Page Avenue
Saint Louis, MO 63132",C020706
ACI Concrete Company,JHF,"1223 F. North Farm Road
Springfield, MO 65802",C023898
Aci Plastics,JHF,"3945 West Pine
St. Louis, MO 63108",C000155
Acid Piping Technology,SDH,"2890 Arnold Tenbrook Rd
ARNOLD, MO 63010",C000156
Ackerman Mfg. Company,JHF,"500 S. Falkenburg Road
Tampa, FL 33619",C000157
Ackrit Tool Incorporated,JHF,"3028 B North Lindbergh
St. Ann, MO 63074",C000158
ACL Transportation Svcs. Llc,JHF,"5500 Hall Street
St. Louis, MO 63147",C000159
ACL Transportation Svcs. Llc,JHF,"Accounts Payable Department 
P.O. Box 610
Jeffersonville, IN 47131",C000160
Aclara Technologies LLC,JHF,"945 Hornet Drive
Hazelwood, MO 63042",C000161
Acme Constructors Inc.,AJA,"7212 Weil Avenue
Webster Grove, MO 63119",C000162
Acme Constructors Inc.,JAG,"1912 Vandiver Drive
Columbia, MO 65202",C018320
Acme Decatur,MDC,"3913 Mueller Avenue
Decatur, IL 62526",C000163
"Acoba, L.L.C.",NMM,"743 Spirit 40 Park Drive
Chesterfield, MO 63005",C000164
"Acoustic Medsystems, Inc",MDC,"208 Burwash Ave
Savoy, IL 61874",C000165
Acro Trailer Company,JMF,"2320 North Packer Road
SPRINGFIELD, MO 65801",C000166
Acropolis Custom Marble & Gran,JHF,"# 50 Thf Blvd.
Chesterfield, MO 63005",C000167
Acropolis Custom Marble And Gr,JHF,"1375 South Kingshighway
St. Louis, MO 63110",C000168
Actemm,JHF,"5988 Midrivers Mall Dr-
St Charles, MO 63304",C000169
"Actemm, Llc",JHF,"P.O. Box 95
Cottleville, MO 63338",C000170
Action Drilling Llc,NCB,"22131 Pepper Lane
Wheatland, MO 65779",C000171
Action Hydraulics,JHF,"8420 Vulcan
St. Louis, MO 63111",C000172
Action Technology,MDC,"10610 State Route 10 East 
P. O. Box 111
Clinton, IL 61727",C000173
A-D Technologies,JHF,"11400 Parkside Drive
Suite 300
Knoxville, TN 37934",C000174
Adam Aylsworth,JHF,"8943 Wrenwood Lane
Brentwood, MO 63144",C018722
Adam Kieffer,JHF,"18955 Harrison Street Road
CHARLESTON, IL 61920",C000175
Adam Morris,MDC,"15794 N. 2300 East
Normal, IL 61761",C027394
Adam Rogers,JHF,"20774 Maries County Road 310
Belle, MO 65013",C000176
Adam Schick,JHF,"2024 North 13 Club Drive
Peoria, IL 61604",C000177
Adams Auto Repair,LRH,"108 1St Street
Old Monroe, MO 63369",C000178
Adams Consulting and Programming,JHF,"6801 North 12th Street
Quincy, IL 62305",C029710
Adams Farms,RDP,"3841 N. Spring Garden Lane
Bonnie, IL 62816",C000179
Adams Power Shower,JHF,"1548 Booneslick
St. Charles, MO 63301",C000180
Adavanced Elecoforming,JHF,"717 Industrial Drive
West Branch, IA 52358",C000181
ADB Companies,JHF,"21 Progress Parkway
Union, MO 63084",C029229
Adb Utility,JHF,"1425 North Ashby
St. Louis, MO 63132",C000182
Adco,JHF,"P.O. Box 9205 
Attn. Dot
Paducah, KY 42002",C000183
Aden Automotive,JHF,"Attn.: Mark Aden
901 Wendell
Golden, IL 62339",C018740
Adesa Auto Auction,SDH,"7858 Hwy 61&67
Barnhart, MO 63012",C000184
Adhere Label,LRH,"100 Stag Industrial Blvd
Lake St. Louis, MO 63367",C000185
"Adi, Incorporated",JHF,"24010 Tomball Parkway
Tomball, TX 77375",C000186
Adient,JAG,"1101 East 8Th Street
Eldon, MO 65026",C006835
Adient  **Do Not Use**,JHF,"**DO NOT USE-SEE C006835**
P.O. Box 981700
El Paso, TX 79998",C006843
Adm,JHF,"2620 Henkel Avenue
Keokuk, IA 52632",C000187
Adm,JAG,"400 E Holt 
P.O. Box #797
Mexico, MO 65265",C000188
ADM - Deerfield,JHF,"17700 South T Highway
Deerfield, MO 64741",C020058
ADM - Havana,JHF,"546 South Water Street
Havana, IL 62644",C030351
Adm / Quincy Soybean,DRH,"2100 Gardner Expressway
Quincy, IL 62305",C000189
ADM Animal Health & Nutrition,LAW,"1200 McGrath Avenue
Effingham, IL 62401",C000194
ADM Animal Nutrition,DRH,"436 South Front Street
Quincy, IL 62301",C000190
ADM Animal Nutrition,DRH,"1000  North 30Th
Quincy, IL 62301",C000191
ADM Animal Nutrition,DRH,"2901 Chestnut St
Quincy, IL 62305",C000192
ADM Animal Nutrition,DRH,"1100 North 30Th
Quincy, IL 62301",C000193
Adm Bio Products,MDC,"4666 Faries Parkway
Decatur, IL 62526",C000195
ADM Bio Products,JHF,"4666 Faries Pkwy
Decatur, IL 62526",C000196
Adm Clinton Cogeneration,JHF,"1800 South Fifth Street
Clinton, IA 52732",C000197
Adm Congeneration,MDC,"4666 Faries Parkway
Decatur, IL 62526",C000198
Adm Corn Processing,MDC,"1 Edmund Street
Peoria, IL 61602",C000199
Adm Corn Processing Division,MDC,"4666 Faries Pkwy
P.O. Box 1470
Decatur, IL 62526",C000200
"Adm East Plant, Soybean Div.",MDC,"4666 Faries Parkway
Decatur, IL 62526",C000201
Adm Glycol,MDC,"4666 Faries Parkway
Decatur, IL 62526",C000202
ADM Grain,JHF,"12710 River Road
Destrehan, LA 70047",C018366
ADM Grain,JHF,"11079 Hwy 18(River Road)
Ama, LA 70031",C019485
Adm Grain Company,JHF,"Curran Elevator 
5848 Old Route 54
New Berlin, IL 62670",C000203
ADM Milling,JHF,"Arkansas City East
1200 South Mill Road
Arkansas City, KS 67005",C018872
ADM Milling,JHF,"Arkansas City West
309 W. Madison
Arkansas City, KS 67005",C018942
ADM Milling,JHF,"601 1st Street
Cheney, WA 99004",C020517
ADM Milling - Charlotte,JHF,"620 W. 10th Street
Charlotte, NC 28202",C018901
Adm Milling Company,JHF,"1301 N Fourth Street
Enid, OK 73701",C000204
Adm Milling Company,JHF,"5020 Shreve Avenue
St. Louis, MO 63115",C000205
ADM Milling Company,JHF,"854 Bethel Ave
BeechGrove, IN 46107",C017006
ADM Milling Company,JHF,"614 West Second Street
Mount Vernon, IN 47620",C019172
ADM Millling,JHF,"2301 E. Trent  Avenue
Spokane, WA 99202",C019145
ADM Rail Car Repair,JHF,"3150 12th Street SW
Cedar Rapids, IA 52404",C019344
Adm Railcar Services,MDC,"2311 North 22Nd Street
Decatur, IL 62526",C000206
Adm Refinery,DRH,"2701 Refinery Rd.
Quincy, IL 62305",C000207
ADM Reserve Elevator,JHF,"2032 Highway 44
Reserve, LA 70084",C019563
"Adm Spiral, Inc.",MDC,"2205 Brush College Road
Decatur, IL 62526",C000208
ADM Technology Center,JHF,"4666 Fairies Parkway
Decatur, IL 62521",C000209
Adm Vitamin E,MDC,"3700 E Division
Decatur, IL 62526",C014168
Adm Wastewater,MDC,"4666 Faires Pkwy
Decatur, IL 62526",C000210
ADM-EWA,JHF,"3210 East Parkway Drive
Decatur, IL 62526",C035759
Adm-Polyol,MDC,"4666 Faries Pkwy
Decatur, IL 62526",C000211
ADM-SFI,JHF,"3615 Fairies Parkway
PO Box 2576
Decatur, IL 62526",C016047
Adorers Of The Blood Of,JHF,"Christ - Us Region 
4233 Sulphur Avenue
St. Louis, MO 63109",C000212
Ads Environmental,JHF,"13266 Lakefront Drive
Earth City, MO 63045",C000213
Advance Auto of Woodriver,JHF,"934 E. Edwardsville Road
Wood River, IL 62095",C002158
Advance Engineering,DTL,"One Vance Drive
O'Fallon, MO 63366",C000214
Advance Pierre Foods,JHF,"12 Tucker Drive
Caseyville, IL 62232",C025056
Advance Truck&Trailer Repair,JHF,"971 North Service Rd West 
P.O. Box 774
St. Clair, MO 63077",C000215
Advanced Air Products,JHF,"2901 S Tejon Street
Englewood, CO 80110",C000216
Advanced Automotive,JDC,"121 Lasalle St
Cape Girardeau, MO 63701",C000217
Advanced Business Services,JHF,"P.O. Box 31069
St.Louis, MO 63131",C000218
Advanced Business Services,JHF,"1427 Shady Creek Court
St.Louis, MO 63131",C000219
Advanced Carbide Tool,JHF,"1385 Industrial Blvd.
Southampton, PA 18966",C000220
Advanced Carbide Tool,JHF,"1498 Spaatz Avenue 
Building #6
Malden, MO 63863",C000221
Advanced Cleaning Equipment An,JHF,"18124 Barrier Reef Ct.
Grover, MO 63040",C000222
Advanced Cleaning Technologies,JHF,"14 B. Hollenberg Court 
P.O. Box 929
Bridgeton, MO 63044",C000223
Advanced Color Tech,JHF,"2284 Chaffee Dr.
St. Louis, MO 63146",C000224
Advanced Color Tech,JHF,"8671 Rear Olive Blvd
St. Louis, MO 63132",C000225
Advanced Concrete,JHF,"1530 St. Paul Road
Ballwin, MO 63021",C000226
Advanced Concrete Technologies,JHF,"300 Portsmouth Ave.
Greenland, NH 03840",C020563
Advanced Diesel & Auto Repair,JHF,"109 Baugh Dr.
Montgomery City, MO 63361",C000227
Advanced Elevator,DRH,"P.O. Box 423
Chillicothe, MO 64601",C000228
Advanced Filtration Systems,MDC,"Interstate Research Park 
3206 Farber Drive
Champaign, IL 61822",C000229
Advanced Fluid Systems,JHF,"245 Campbell Road
York, PA 17402",C000230
Advanced Fluid Systems,JHF,"P.O. Box 3342
York, PA 17402",C000231
Advanced Fluid Systems Mfg,JHF,"Road #32 Campbell Road
York, PA 17402",C000232
Advanced Hydraulic,JHF,"3073 South Chase Avenue
Milwaukee, WI 53207",C000233
Advanced Industrial Controls,SDH,"417 W. Broadway
Steeleville, IL 62288",C000234
Advanced Industrial Controls,SDH,"P.O. Box 447
Waterloo, IL 62298",C000235
Advanced Machining & Automation,DRH,"502 North 9th Street
Lancaster, MO 63548",C000236
Advanced Marine,JHF,"927 Newhall Street
Costa Mesa, CA 92627",C016536
Advanced Metal Processing,LRH,"P. O. Box 1114
Saint Peters, MO 63376",C000237
Advanced Mobility,JHF,"6370 West Emerald Pkwy
Monee, IL 60449",C000238
